Species Name,year_first_described,first_paper
Flabelliforma diaptomi (= Stempellia diaptomi),1977,Voronin VN. Ultrastructure of stempellia diaptomi (Protozoa: Microsporidia) with the revision of generic position of the species. Parazitologiya. 30:58.
Glugea plecoglossi,1977,"Takahashi S, Egusa S. Studies on Glugea Infection of the Ayu, Plecoglossus altivelis—I. Fish Pathol. 1977;11:175–82."
Kneallhazia solenopsae,1977,"Knell JD, Allen GE. Light and electron microscope study of Thelohania solenopsae n. sp. (Microsporida: Protozoa) in the red imported fire ant, Solenopsis invicta. J Invertebr Pathol. 1977;29:192–200."
Nosema blissi,1977,"Liu HJ, McEwen FL. Nosema blissi sp. n. (Microsporida: Nosematidae), a pathogen of the chinch bug, Blissus leucopterus hirtus (Hemiptera: Lygaeidae). Journal of Invertebrate Pathology. 1977;29:141–6."
Nosema costelytrae,1977,"Malone LA. Ultrastructure and tissue specificity of Nosema costelytrae and Nosema takapauensis, microsporidian pathogens of grass grubs, Costelytra zealandica, (Coleoptera: Scarabaeidae) in New Zealand. N Z J Sci Technol Sect B. 1990;33:459–65."
Nosema galleriae,1977,"Lipa JJ. Microsporidian infections of Galleria mellonella (L.) (Lepidoptera, Galleriidae) with the description of a new species Nosema galleriae n. sp. Acta Protozool. 1977;16:141–9."
Nosema gigantica,1977,"Canning EU, Madhavi R. Studies on two new species of Microsporida hyperparasitic in adult Allocreadium fasciatusi (Trematoda, Allocreadiidae). Parasitology. 1977;75:293–300."
Nosema hermannia,1977,"Purrini K, Baumler W. Nosema hermanniae n.sp. - a new microsporidian from Hermannia gibba C.L. Koch (Fam. Hermanniidae, Oribatei, Acari) in spruce forest soils. Zool Anz. 1977;199:107–12."
Nosema pfeifferi,1977,"Воронин ВН, Yoronin VN. Микроспоридии (Protozoa, Microsporidia) низших ракообразных из водоемов Ленинградской области. Parazitologiya. 1977;11:505–12."
Nosema polyphemi,1977,"Воронин ВН, Yoronin VN. Микроспоридии (Protozoa, Microsporidia) низших ракообразных из водоемов Ленинградской области. Parazitologiya. 1977;11:505–12."
Nosema porphyriniae,1977,"Lipa JJ. Nosema porphyriniae n. sp., a new microsporidian parasite of porphyrinia amasina eversman (Lepidoptera, noctuidae). Acta Protozool. 1977;16:131–4."
Nosema pyrrhocoridis,1977,"Lipa JJ. Nosema pyrrhocoridis n. sp., a new microsporidian parasite of red soldier bug (Pyrrhocoris apterus L.) (Heteroptera, Pyrrhocoridae). Acta Protozool. 1977;16:135–40."
Nosema sp. 28,1977,"Lipa JJ. Microsporidian infections of Galleria mellonella (L.) (Lepidoptera, Galleriidae) with the description of a new species Nosema galleriae n. sp. Acta Protozool. 1977;16:141–9."
Nosema telengae,1977,"Simchuk PA. A new species of microsporidian, Nosema telengae n.sp. from Laspeyresia pyrivora. Zool Zhurnal. 1977;56:10–6."
Nosema transitellae,1977,"Kellen WR, Hoffmann DF, Collier SS. Studies on the biology and ultrastructure of nosema transitellae sp. n. (microsporidia: Nosematidae) in the navel orangeworm, paramyelois transitella (lepidoptera: Pyralidae)1. Journal of Invertebrate Pathology. 1977;29:289–96."
