species,paper_title,title_abstract,hosts_natural,hosts_experimental,hosts_not_in_text,hosts_not_in_text_corrected
Alfvenia ceriodaphniae,"Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera)","Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera) ::: On the basis of electronmicroscopic data the description of Alfvenia ceriodaphniae sp. n. from Ceriodaphnia reticulata (Crustacea, Cladocera) is presented. The nuclear apparatus of meronts is diplokariotic. Sporonts, sporoblasts and spores are uninuclear. The sporogonial Plasmodium undertakes the rosette-like division with the formation of sporoblasts. Spores are egg-shaped, their size: 4.5(4.2-4.8) X 3.3(2.9-3.5) ц т . Evry spore lays individually inside the envelope, that is formed from the external layer of the sporoblast wall. Polar tube is isofillar, forming 8 - 9 coils. Polaroplast is consisted of the lamellar and chamber parts. The site of parasite localisation is crustacean hypoderm.",Ceriodaphniae,NA,Ceriodaphniae,NA
Alternosema bostrichidis,"Ultrastructure, molecular phylogeny, and prevalence rates of Alternosema bostrichidis gen. nov. sp. nov. (Microsporidia, Terresporidia), a parasite of Prostephanus truncatus and Dinoderus spp. (Coleoptera, Bostrichidae)","Ultrastructure, molecular phylogeny, and prevalence rates of Alternosema bostrichidis gen. nov. sp. nov. (Microsporidia, Terresporidia), a parasite of Prostephanus truncatus and Dinoderus spp. (Coleoptera, Bostrichidae) ::: A new species and a new genus of a microsporidium Alternosema bostrichidis isolated from an adult Prostephanus truncatus in Mexico and from three species of the genus Dinoderus in Nigeria are described. The microsporidium is monomorphic, monoxenic, and develops in direct contact with host cell cytoplasm. The infection first appears with thoracic muscles, followed by a generalized invasion of the host. All developmental stages are diplokaryotic. Sporogony is disporoblastic. Mature spores are ovoid. Unfixed spores measure 3.7–4.2 × 2.0–2.6 μm, fixed and stained spores 3.5–5.0 × 2.4–2.8 μm. The polaroplast consists of dense lamellae and rare lamellae. The polar tube is slightly anisofilar, consisting of 11–17 coils, with 9–14 proximal (130 nm in diameter) and 2–3 distal coils (120 nm in diameter) arranged in one layer. Molecular phylogenetic analysis based upon a short portion of small-subunit ribosomal RNA gene (Genbank accession # KP455651) placed the new microsporidium within Liebermannia-Orthosomella lineage, which contains multiple undescribed parasites. In particular, A. bostrichidis showed maximal sequence similarity of 95% to Microsporidium sp. BBRE2 (# FJ755987) from Baikalian Diplacanthus brevispinus (Amphipoda: Acanthogammaridae) and Microsporidium sp. Comp CD Van 2 (# KC111784) from compost and soil in Canada. Frequent, devastating epizootics of laboratory cultures of A. bostrichidis support its potential as a biological control agent of grain borers.",Prostephanus truncatus; Dinoderus bifoveolatus; Dinoderus porcellus; Dinoderus minutus,NA,Dinoderus bifoveolatus; Dinoderus porcellus; Dinoderus minutus,NA
Amblyospora abserrati,Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes ::: The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Aedes abserratus,Acanthocyclops vernalis,Acanthocyclops vernalis,NA
Amblyospora aestiva,New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Aedes dorsalis; Aedes caspius,NA,Aedes dorsalis; Aedes caspius,Ae. c. dorsalis; Ae. c. caspus 
Amblyospora bakcharia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus excrucians,NA,Ochlerotatus excrucians,NA
Amblyospora baritia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus excrucians,NA,Ochlerotatus excrucians,NA
Amblyospora bogashovia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus excrucians,NA,Ochlerotatus excrucians,NA
Amblyospora certa,New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Aedes cinereus,NA,Aedes cinereus,Ae. cinerus
Amblyospora chulymia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus caspius,NA,Ochlerotatus caspius,NA
Amblyospora cinerei,Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes ::: The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Aedes cinereus,Acanthocyclops vernalis,Acanthocyclops vernalis,NA
