"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Abelspora portucalensis","1987; 1991","Carcinus maenas",,,"adult",,,"3.15(fresh); 3.1(stained)","1.3(fresh); 1.3(stained)","2.78737808189754 (fresh)","ellipsoid","Portugal",1,,,,"22.462387473167 (fresh)","5 - 6",5.5,,,,"1. Azevedo, Carlos. “Fine Structure of the Microsporidan Abelspora Portucalensis Gen.n., Sp.n. (Microsporida) Parasite of the Hepatopancreas of Carcinus Maenas (Crustacea, Decapoda).” Journal of Invertebrate Pathology 49, no. 1 (January 1987): 83–92. https://doi.org/10.1016/0022-2011(87)90129-7
 2. Rocha E, Monteiro RAF. Ultrastructural qualitative and quantitative data on the sporogenesis of the protozoanAbelspora portucalensis (microspora, abelsporidae): A different approach to the study of microsporidia. J Morphol. 1992;213:295–303."
,"Acarispora falculifera",2015,"Falculifer rostratus",,,,"Gut epithelium of colon","horizontal","3.6 (fixed)",2.6,"12.7422998029602 (fixed)","broad ovoid","(Near Greifswald) Germany",1,,,,28.58849315,"3 - 4",3.5,,,,"Radek R, Kariton M, Dabert J, Alberti G. Ultrastructural characterization of Acarispora falculifera n.gen., n.sp., a new microsporidium (Opisthokonta: Chytridiopsida) from the feather mite Falculifer rostratus (Astigmata: Pterolichoidea). Acta Parasit. 2015;60:200–10."
,"Aedispora dorsalis",1997,"Aedes caspius dorsalis",,"freshwater (in temporal water reservoir)","larva","fat body","horizontal","12.2 (live)","3.95 (live)","99.667288734524 (live)","pyriform","Ukraine (valley of river Bahmut)",,,,,"161.320782761836 (live)","11 - 15 (5-7 + 6-8)",13,,,,"1. Sokolova Y, Issi IV, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistiol. 2018;12:12–37."
,"Aedispora sp.",1997,"Aedes caspius",,"freshwater; terrestrial (found in open temporal water reservoir)","larva","fat body","horizontal",11.3,5.6,185.5466509,"broadly oval; pyriform","Ukraine (Golaya Pristan)",,,,,,,,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Agglomerata cladocera","1895; 1996; 2016","Daphnia magna; Limnetis sp.; D. pulex",,,,"Hypoderm; adipose","horizontal",3.25,1.65,4.632867416,,"Germany (Griswald, Heidelberg, etc.); Czechoslovakia (Lednice) .","1 (unclear if uninuc/binuc spores are different sizes); 2 (unclear if uninuc/binuc spores are different sizes)",,,,28.50995333,"5 - 6",5.5,"KT950767",,,"1. Glugea cladocera II Pfeiffer, 1895, ""Die Protozoen als Krankheitserreger, Nachtrage,"" p. 66 [fide Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 198, 208]
 2. Plistophora coccoidea (Pfeiffer, 1895) Labbe [partim], 1899, in ""Das Tierreich"" (0. Blitschli, ed.), 5,108. Auerbach [partim], 1910, ""Die Cnidosporidien,"" p. 194
 3. Gen. incert. coccoidea (Pfeiffer, 1895) Kudo [partim], loc. cit
 4. Thelohania cladocera (Pfeiffer, 1895) Jirovec, 1936, Zool. Anz., 116, 137. Jirovec, 1942, Vestn. Kral. Ceske Spol. Nauk. Trida Mat. Prirooved., 1942 , 3. Lom & Vavra, 19 63 , Vestn. Cesk. Spol. Zool., 27, Pl. I-fig. 1. Hazard & Oldacre, 1975, U. S. Dep. Agric. Tech. Bull. 1530, 94.
 5. Larsson JIR, Ebert D, Vávra J. Ultrastructural study of Glugea cladocera pfeiffer, 1895, and transfer to the genus Agglomerata (microspora, duboscqiidae). Eur J Protistol. 1996;32:412–22."
,"Agglomerata cladocera (siberian isolate)","2016 (reorganized into this genus in 1996)","Daphnia magna",,,,"Hypoderm; adipose","horizontal","4.0 (fixed)","2.3 (fixed)","11.07935009166 (fixed)","pyriform","(Novosibirsk region) Western Siberia",1,,,,"43.3539786195391 (fixed)","5 - 7",6,"KT950767",,,"Sokolova YY, Senderskiy IV, Tokarev YS. Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia. Journal of Invertebrate Pathology. 2016;136:81–91."
,"Agglomerata connexa",2001,"Daphnia longispina",,"freshwater",,"adipose tissue (main infection site); systemic infection (except muscles and digestive tube)",,"4.08 -+ 0.27 (fresh); 3.37 -+ 0.34 (stained)","2.72 -+ 0.24 (fresh); 1.97 -+ 0.63 (stained)","15.8050761800567 (fresh)","pyriform","Poland",1,,,,"51.2707921065854 (fresh)","5 - 7",6,,,,"1. Ovcharenko M, Wita I. Ultrastructural study of Agglomerata connexa sp. nov. (Microspora, Duboscqiidae), a new microsporidian parasite of Daphnia longispina (Cladocera, Daphniidae). Acta Parasitol. 2001;46:94–102."
,"Agglomerata lacrima",2001,"Acanthocyclops vernalis",,,,"hypodermal; adipose","horizontal","4.4 um (fresh); 3.7 ± 0.2 um (fixed)","2.6 um (fresh); 1.6 ± 0.2 um (fixed)","15.5739219813958 (fresh)","pyriform","Sweden",1,,,,"49.0088453960008 (fresh)",6,6,,,,"1. Bronnvall AM, Larsson JIR. Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae). Eur J Protistol. Elsevier Science; 2001;37:89–102."
,"Agglomerata volgensae",2000,"Daphnia magna",,,,"hypodermal; adipose","horizontal","3.4 um","1.85 um",6.092857152,"pyriform","Russia",1,,,,31.96570525,2022-05-06,5.5,,,,"1. Larsson JIR, Voronin VN. Light and electron microscopic study of Agglomerata volgensae n. sp. (Microspora: Dubosqiidae), a new microsporidian parasite of Daphnia magna (Crustacea: Daphniidae). Eur J Protistol. 2000;36:89–99."
,"Agmasoma aquinoae",1988,"Penaeus merguiensis",,,,,,"3 (normal spores, fresh); 5.85 (macrospores)","1.85(normal spores, fresh); 2.9 (macrospores)","5.37605042845553 (normal spores, fresh); 25.7602743612729 (macrospores, fresh)","pyriform","Philippines","1 (normal spores); 1 (macrospores)",,,,,,,,,,"Enriquez, Gloria L., and Victor Sprague. “Note to Establish as a New Species a Previously Reported Microsporidium of Philippine Prawns 1.” The Journal of Protozoology 35, no. 2 (May 1988): 320–21. https://doi.org/10.1111/j.1550-7408.1988.tb04350.x."
