...1,species,title_abstract,locality,locality_normalized,pred_locality,tp,fp,fn,regions_in_abstract
5,Agglomerata daphnia,"Morphological and molecular characterization of a new species, Agglomerata daphniae n. sp. from the hypoderm of Daphnia magna (Crustacea: Daphniidae) ::: A new microsporidian species was described from the hypoderm of Daphnia magna sampled from gibel carp (Carassius auratus gibelio) ponds located in Wuhan city, China. The infected cladocerans generally appeared opaque due to numerous plasmodia distributed in the host integument. The earliest stages observed were uninucleate meronts that were in direct contact with the host cell cytoplasm. Meronts developed into multinucleate sporogonial plasmodia enclosed in sporophorous vesicles. Sporoblasts were produced by the rosette-like division of sporogonial division. Mature spores were pyriform and monokaryotic, measuring 4.48 ± 0.09 (4.34-4.65) µm long and 2.40 ± 0.08 (2.18-2.54) µm wide. The polaroplast was bipartite with loose anterior lamellae and tight posterior lamellae. Polar filaments, arranged in two rows, were anisofilar with two wider anterior coils, and five narrower posterior coils. The exospore was covered with fibrous secretions and was composed of four layers. Phylogenetic analysis based on the obtained SSU rDNA sequence, indicated that the present species clustered with three unidentified Daphnia pulicaria-infecting microsporidia with high support values to form a monophyletic lineage, rather than with the congener, Agglomerata cladocera. The barcode motif of the internal transcribed spacer (ITS) region of the novel species was unique among representatives of the ""Agglomeratidae"" sensu clade (Vávra et al., 2018). Based on the morphological characters and SSU rDNA-inferred phylogenetic analyses, a new species was erected and named as Agglomerata daphniae n. sp. This is the first report of zooplankton-infecting microsporidia in China.",China (Wuhan),China (Wuhan),China (Wuhan city | Wuhan),2,1,0,TRUE
8,Agmasoma aquinoae,"Note to Establish as a New Species a Previously Reported Microsporidium of Philippine Prawns ::: A previously reported microsporidium in Penaeus merguiensis de Man, 1888(Decapoda,Penaeidae). in the Philippines has been identified as a species of Agmasoma Hazard & Oldacre, 1975, and named Agmasoma aquinoae n. sp. (Microsponda, Thelohaniidae).",Philippines,Philippines (),Philippines (); Penaeidae (); Thelohaniidae (); Isle of Man (Man),1,4,0,TRUE
12,Alternosema bostrichidis,"Ultrastructure, molecular phylogeny, and prevalence rates of Alternosema bostrichidis gen. nov. sp. nov. (Microsporidia, Terresporidia), a parasite of Prostephanus truncatus and Dinoderus spp. (Coleoptera, Bostrichidae) ::: A new species and a new genus of a microsporidium Alternosema bostrichidis isolated from an adult Prostephanus truncatus in Mexico and from three species of the genus Dinoderus in Nigeria are described. The microsporidium is monomorphic, monoxenic, and develops in direct contact with host cell cytoplasm. The infection first appears with thoracic muscles, followed by a generalized invasion of the host. All developmental stages are diplokaryotic. Sporogony is disporoblastic. Mature spores are ovoid. Unfixed spores measure 3.7–4.2 × 2.0–2.6 μm, fixed and stained spores 3.5–5.0 × 2.4–2.8 μm. The polaroplast consists of dense lamellae and rare lamellae. The polar tube is slightly anisofilar, consisting of 11–17 coils, with 9–14 proximal (130 nm in diameter) and 2–3 distal coils (120 nm in diameter) arranged in one layer. Molecular phylogenetic analysis based upon a short portion of small-subunit ribosomal RNA gene (Genbank accession # KP455651) placed the new microsporidium within Liebermannia-Orthosomella lineage, which contains multiple undescribed parasites. In particular, A. bostrichidis showed maximal sequence similarity of 95% to Microsporidium sp. BBRE2 (# FJ755987) from Baikalian Diplacanthus brevispinus (Amphipoda: Acanthogammaridae) and Microsporidium sp. Comp CD Van 2 (# KC111784) from compost and soil in Canada. Frequent, devastating epizootics of laboratory cultures of A. bostrichidis support its potential as a biological control agent of grain borers.",Mexico,Mexico (),Mexico (Mexico); Canada (); Prostephanus (); Coleoptera (); Nigeria (Nigeria); Terresporidia (); Bostrichidae (); Liebermannia-Orthosomella (); Turkey (Van),1,11,0,TRUE
15,Amblyospora aestiva,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",Ukraine,Ukraine (),Ukraine (),1,0,0,TRUE
16,Amblyospora albifasciati,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.","Argentina (Punta Lara, Buenos Aires)","Argentina (Punta Lara, Buenos Aires)",Argentina (); Parathelohania (); Psorophora (); Culicidae (),1,3,1,TRUE
18,Amblyospora bakcharia,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.","(pool near the village of Bakchar, Tomsk region, Western Siberia) Russia","Russia (Bakchar, Tomsk, Western Siberia)",Russia (Siberia | Tomsk | Kemerovo | Novosibirsk); Canada (Anopheles); Amblyospora (),2,5,0,TRUE
19,Amblyospora baritia,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.","(pool near the village of Ursk, Kemerovo region, Western Siberia) Russia","Russia (Ursk, Kemerovo, Western Siberia)",Russia (Siberia | Tomsk | Kemerovo | Novosibirsk); Canada (Anopheles); Amblyospora (),2,5,0,TRUE
20,Amblyospora bogashovia,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.","(pool in Tomsk region, Western Siberia) Russia","Russia (Tomsk, Western Siberia)",Russia (Siberia | Tomsk | Kemerovo | Novosibirsk); Canada (Anopheles); Amblyospora (),2,5,0,TRUE
22,Amblyospora camposi,"Life cycle and description of Amblyospora camposi n. sp. (Microsporidia: Amblyosporidae) in the mosquito Culex renatoi (Diptera, Culicidae) and the copepod Paracyclops fimbriatus fimbriatus (Copepoda, Cyclopidae) ::: The life cycle of Amblyospora camposi n. sp. is described from the mosquito Culex renatoi and the copepod Paracyclops fimbriatus fimbriatus collected in the leaf axils of the plant Eryngium cabrerae in Argentina. Meiospores of A. camposi (5.8 x 4.1 μm) were infectious per os to female adults of the copepod P. f. fimbriatus. All developmental stages in the copepod had unpaired nuclei, with sporulation involving the formation of a sub-persistent, sporontogenic, interfacial envelope and the production of a second type of uninucleate spore. These spores, formed in the ovaries of P. f. fimbriatus, were large, pyriform, and measured 10.70 x 3.85 μm. When ingested they infected C. renatoi larvae to initiate a sequence that involves schizogony and gametogony and ends with plasmogamy and nuclear association to form diplokaryotic meronts. Oblong ovate binucleate spores (7.86 x 2.96 μm) are formed in the adult mosquito and are responsible for vertical transmission to the filial generation. This is the first report of an Amblyospora species from a mosquito that inhabits the small-water bodies held in parts of terresterial plants (phytotelmata).",Argentina,Argentina (),Argentina (); Diptera (); Culicidae (),1,2,0,TRUE
24,Amblyospora cataphyllus,"Microsporidians in bloodsucking Aedes (O.) cataphylla mosquitoes in Ukraine [Mikrosporidii krovososushchikh komarov Aedes (O.) cataphylla Ukrainy.] ::: The paper reports the results of studies on Microsporidia from the bloodsucking mosquito Aedes cataphylla for the period from 1974 undertaken in the Kiev and Chernigov Provinces of the Ukraine. A new species, Amblyospora cataphyllus sp. n., is described from larvae of the mosquito. Living spores oval or elongate-oval, 6.3--7.5 x 4.5--5.0 (most commonly 6.8 x 4.8) microns, fixed spores oval, 5.6--6.9 x 3.8--4.8 microns. Mucocalyx becomes distinct around spores in 10 to 15 days after the preparation is made. Spontaneously ejected polar tube 125 microns long. Exospore smooth or undulate, 170 to 310 nm thick, endospore 60 to 160 nm. Polaroplast elongated and curved, its 1/3 is composed of closely situated plates and 2/3 of more widely arranged ones. Polar tube anisophyllous, forms 18 to 20 spires in a spore, of which 3 to 5 spires form basal area and 14 to 16 form distal area (of them 1-2 most thick spires form intermediate area). Nucleus large, in a shape of half-ring. In living spores posterior vacuole crescentic, in fixed ones it is strongly deformed together with hind pole of spores. Sporogony of Microsporidia takes place in larvae of mosquitoes of both sexes. Infection extensiveness of IV stage larvae is 10%.",Ukraine (Kiev | Cernigov),Ukraine (Kiev | Cernigov),Ukraine (Kiev | Chernigov),2,1,1,TRUE
