...1,species,num_papers,title_abstract,infection_site,infection_site_formatted,infection_site_normalized,pred_infection_site,tp,fp,fn
3,Agglomerata cladocera (siberian isolate),1,"Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia ::: Here we report on two microsporidia from freshwater crustaceans collected during the ongoing survey for microsporidia in the river Karasuk and adjacent waterbodies (Novosibirsk region, Western Siberia). The first species parasitized hypoderm and fat body of a cyclopid Cyclops sp. (Maxillopoda, Copedoda) and produced oval spores, measured 2.0×3.6μm (fixed) enclosed individually or in small groups in fragile sporophorous vesicles (SVs). We describe it here as Alfvenia sibirica sp. n. The second species infected the same tissues of a cladoceran Daphnia magna (Branchiopoda, Phyllopoda). Its spores were pyriform, 2.3×4.0μm (fixed), and resided in relatively persistent SVs in groups of 8–16. This species was identified as a Siberian isolate (Si) of Agglomerata cladocera (Pfeifer) because ultrastructurally it was hardly distinguishable from A. cladocera recorded from England from the same host (Larsson et al., 1996). A. cladocera (Si) shared 99% SSU rDNA sequence similarity to Binucleata daphniae from D. magna collected in Belgium (Refardt et al., 2008). The major outcome of our work is that we present molecular (SSUrDNA) characterization coupled with EM description, for representatives of two genera, Alfvenia (encompasses 3 described so far species) and Agglomerata (7 species), which allowed us to place these two genera on the phylogenetic tree. We also summarized the literature data on Alfvenia and Agglomerata spp., and provided their comparative morphological analysis. These two genera belong to so called “Aquatic outgroup” (Vossbrinck et al., 2004), a poorly resolved lineage, a sister to Amblyosporidae. This lineage probably includes majority of fresh water forms of microsporidia, most of which remain undescribed. SSUrDNA-based phylogenetic analysis and analysis of hosts suggest that diversification within the “Aquatic outgroup” could have been connected with the host switch from dipterans or copepods to cladocerans that had occurred in some ancestral Amblyospora-related lineage(s).",Hypoderm; adipose,Hypoderm; adipose,Adipose tissue; Hypoderm,cladoceran Daphnia; SVs; Adipose tissue; Hypoderm,2,2,0
5,Agglomerata daphnia,1,"Morphological and molecular characterization of a new species, Agglomerata daphniae n. sp. from the hypoderm of Daphnia magna (Crustacea: Daphniidae) ::: A new microsporidian species was described from the hypoderm of Daphnia magna sampled from gibel carp (Carassius auratus gibelio) ponds located in Wuhan city, China. The infected cladocerans generally appeared opaque due to numerous plasmodia distributed in the host integument. The earliest stages observed were uninucleate meronts that were in direct contact with the host cell cytoplasm. Meronts developed into multinucleate sporogonial plasmodia enclosed in sporophorous vesicles. Sporoblasts were produced by the rosette-like division of sporogonial division. Mature spores were pyriform and monokaryotic, measuring 4.48 ± 0.09 (4.34-4.65) µm long and 2.40 ± 0.08 (2.18-2.54) µm wide. The polaroplast was bipartite with loose anterior lamellae and tight posterior lamellae. Polar filaments, arranged in two rows, were anisofilar with two wider anterior coils, and five narrower posterior coils. The exospore was covered with fibrous secretions and was composed of four layers. Phylogenetic analysis based on the obtained SSU rDNA sequence, indicated that the present species clustered with three unidentified Daphnia pulicaria-infecting microsporidia with high support values to form a monophyletic lineage, rather than with the congener, Agglomerata cladocera. The barcode motif of the internal transcribed spacer (ITS) region of the novel species was unique among representatives of the ""Agglomeratidae"" sensu clade (Vávra et al., 2018). Based on the morphological characters and SSU rDNA-inferred phylogenetic analyses, a new species was erected and named as Agglomerata daphniae n. sp. This is the first report of zooplankton-infecting microsporidia in China.",hypoderm,hypoderm,hypoderm,plasmodia; hypoderm; Carassius auratus gibelio,1,2,0
6,Agglomerata lacrima,1,"Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae) ::: Agglomerata lacrima n. sp. is the first species of the genus described from a copepod host (Acanthocyclops vernalis.) It was studied using light- and electron-microscopy. All stages of the life-cycle had isolated nuclei. The earliest stages found were uninucleate merozoites. Sporogony produced 4-12 (mostly 8) pyriform spores by rosette-like budding within a fragile sporophorous vesicle. Live spores measured 4.4 +/- 0.2 x 2.6 +/- 0.2 μm, and fixed spores measured 3.7 +/- 0.2 x 1.6 +/- 0.2 μm. The exospore was constructed of 4 layers. The anisofilar polar filament made 5-6 coils in the posterior half of the spore. The polaroplast had an anterior part with wide lamellae (chambers), followed by a second zone of narrow lamellae. Tubule-like structures which might constitute a third polaroplast region were present immediately anterior to the first filament coil. Cytological characteristics and the generic position of the species are discussed, and it is compared to related or resembling species, and to all previously reported microsporidian species from copepods.",hypodermal; adipose,hypodermal; adipose,hypodermal; adipose,merozoites,0,1,2
10,Alfvenia sibirica,1,"Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia ::: Here we report on two microsporidia from freshwater crustaceans collected during the ongoing survey for microsporidia in the river Karasuk and adjacent waterbodies (Novosibirsk region, Western Siberia). The first species parasitized hypoderm and fat body of a cyclopid Cyclops sp. (Maxillopoda, Copedoda) and produced oval spores, measured 2.0×3.6μm (fixed) enclosed individually or in small groups in fragile sporophorous vesicles (SVs). We describe it here as Alfvenia sibirica sp. n. The second species infected the same tissues of a cladoceran Daphnia magna (Branchiopoda, Phyllopoda). Its spores were pyriform, 2.3×4.0μm (fixed), and resided in relatively persistent SVs in groups of 8–16. This species was identified as a Siberian isolate (Si) of Agglomerata cladocera (Pfeifer) because ultrastructurally it was hardly distinguishable from A. cladocera recorded from England from the same host (Larsson et al., 1996). A. cladocera (Si) shared 99% SSU rDNA sequence similarity to Binucleata daphniae from D. magna collected in Belgium (Refardt et al., 2008). The major outcome of our work is that we present molecular (SSUrDNA) characterization coupled with EM description, for representatives of two genera, Alfvenia (encompasses 3 described so far species) and Agglomerata (7 species), which allowed us to place these two genera on the phylogenetic tree. We also summarized the literature data on Alfvenia and Agglomerata spp., and provided their comparative morphological analysis. These two genera belong to so called “Aquatic outgroup” (Vossbrinck et al., 2004), a poorly resolved lineage, a sister to Amblyosporidae. This lineage probably includes majority of fresh water forms of microsporidia, most of which remain undescribed. SSUrDNA-based phylogenetic analysis and analysis of hosts suggest that diversification within the “Aquatic outgroup” could have been connected with the host switch from dipterans or copepods to cladocerans that had occurred in some ancestral Amblyospora-related lineage(s).",Hypoderm; adipose,Hypoderm; adipose,Adipose tissue; Hypoderm,cladoceran Daphnia; SVs; Adipose tissue; Hypoderm,2,2,0
11,Alloglugea bufonis,1,"Alloglugea bufonis nov. gen., nov. sp. (Microsporea:Glugeidae), a microsporidian of Bufo marinus tadpoles and metamorphosing toads (Amphibia:Anura) from Amazonian Brazil ::: A microsporidian infection, due to Alloglugea bufonis nov. gen., nov. sp., is described in the tadpoles and newly metamorphosed toads of Bufo marinus from a lake near Belem, Para, north Brazil. Xenomas occur either singly in the lamina propria of the intestine, or aggregated into cystic bodies of up to 0.2 mm diameter, which emerge above the intestine surface. The xenoma is bounded by a folded plasmalemma with pinocytotic depressions, and there is a central, enlarged nucleus. Plasmodial stages and elongate meronts differentiate ~ n t o ribbon-shaped sporonts and single-nucleated sporo- blasts. The spore cytoplasm is invaginated at the posterior end. Spores escape from the mature xeno- mas into reticuloendothelial cells of the liver, spleen and kidneys of the tadpoles and newly metamorphosed toads, but infection is gradually lost after metamorphosis.","intestines (lamina propria); liver (reticuloendothelial cells, blood vessels); spleen (primary infection site); kidney (glomeruli, primary infection site); macrophages; phagocytes",intestines; lamina propria; liver; reticuloendothelial cells; blood vessels; spleen; kidney; glomeruli; macrophages; phagocytes,blood vessels; kidney; phagocytes; lamina propria; reticuloendothelial cells; liver; macrophages; glomeruli; intestines; spleen,tadpoles,0,1,10
13,Amazonspora hassar,1,"Amazonspora hassar n. gen. and n. sp. (Phylum Microsporidia, fam. Glugeidae), a parasite of the Amazonian teleost Hassar orestis (fam. Doradidae) ::: We describe the microsporidian Amazonspora hassar n. gen., n. sp. from the gill xenomas of the teleost Hassar orestis (Doradidae) collected in the estuarine region of the Amazon River. The parasite appeared as a small whitish xenoma located in the gill filaments near the blood vessels. Each xenoma consisted of a single hypertrophic host cell (HHC) in the cytoplasm of which the microsporidian developed and proliferated. The xenoma wall was composed of up to approximately 22 juxtaposed crossed layers of collagen fibers. The plasmalemma of the HHC presented numerous anastomosed, microvilli-like structures projecting outward through the 1-3 first internal layers of the collagen fibrils. The parasite was in direct contact with host cell cytoplasm in all stages of the cycle (merogony and sporogony). Sporogony appears to divide by plasmotomy, giving rise to 4 uninucleate sporoblasts, which develop into uninucleate spores. The ellipsoidal spores measured 2.69 ± 0.45 × 1.78 ± 0.18 μm, and the wall measured ∼75 nm. The anchoring disk of the polar filament was subterminal, being shifted laterally from the anterior pole. The polar filament was arranged into 7-8 coils in a single layer in the posterior half of the spore, surrounding the posterior vacuole. The polaroplast surrounded the uncoiled portion of the polar filament, and it was exclusively lamellar. The spores and different life-cycle stages were intermingled within the cytoplasm of the HHC, surrounding the central hypertrophic deeply branched nucleus. The ultrastructural morphology of this microsporidian parasite suggests the erection of a new genus and species.",gills,gills,gills,blood vessels; gill xenomas; gill filaments,0,3,1
15,Amblyospora aestiva,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
22,Amblyospora camposi,1,"Life cycle and description of Amblyospora camposi n. sp. (Microsporidia: Amblyosporidae) in the mosquito Culex renatoi (Diptera, Culicidae) and the copepod Paracyclops fimbriatus fimbriatus (Copepoda, Cyclopidae) ::: The life cycle of Amblyospora camposi n. sp. is described from the mosquito Culex renatoi and the copepod Paracyclops fimbriatus fimbriatus collected in the leaf axils of the plant Eryngium cabrerae in Argentina. Meiospores of A. camposi (5.8 x 4.1 μm) were infectious per os to female adults of the copepod P. f. fimbriatus. All developmental stages in the copepod had unpaired nuclei, with sporulation involving the formation of a sub-persistent, sporontogenic, interfacial envelope and the production of a second type of uninucleate spore. These spores, formed in the ovaries of P. f. fimbriatus, were large, pyriform, and measured 10.70 x 3.85 μm. When ingested they infected C. renatoi larvae to initiate a sequence that involves schizogony and gametogony and ends with plasmogamy and nuclear association to form diplokaryotic meronts. Oblong ovate binucleate spores (7.86 x 2.96 μm) are formed in the adult mosquito and are responsible for vertical transmission to the filial generation. This is the first report of an Amblyospora species from a mosquito that inhabits the small-water bodies held in parts of terresterial plants (phytotelmata).","adipose (1); ovarian (1, 2)",adipose; ovarian,ovarian; adipose,gametogony; ovaries; leaf axils; Eryngium cabrerae; nuclear,0,5,2
25,Amblyospora certa,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
31,Amblyospora criniferis,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
