...1,species,num_papers,title_abstract,infection_site,infection_site_formatted,infection_site_normalized,pred_infection_site,tp,fp,fn
6,Agglomerata lacrima,1,"Ultrastructure and light microscopic cytology of Agglomerata lacrima n. sp. (Microspora, Duboscqiidae), a microsporidian parasite of Acanthocyclops vernalis (Copepoda, Cyclopidae) ::: Agglomerata lacrima n. sp. is the first species of the genus described from a copepod host (Acanthocyclops vernalis.) It was studied using light- and electron-microscopy. All stages of the life-cycle had isolated nuclei. The earliest stages found were uninucleate merozoites. Sporogony produced 4-12 (mostly 8) pyriform spores by rosette-like budding within a fragile sporophorous vesicle. Live spores measured 4.4 +/- 0.2 x 2.6 +/- 0.2 μm, and fixed spores measured 3.7 +/- 0.2 x 1.6 +/- 0.2 μm. The exospore was constructed of 4 layers. The anisofilar polar filament made 5-6 coils in the posterior half of the spore. The polaroplast had an anterior part with wide lamellae (chambers), followed by a second zone of narrow lamellae. Tubule-like structures which might constitute a third polaroplast region were present immediately anterior to the first filament coil. Cytological characteristics and the generic position of the species are discussed, and it is compared to related or resembling species, and to all previously reported microsporidian species from copepods.",hypodermal; adipose,hypodermal; adipose,hypodermal; adipose,merozoites,0,1,2
11,Alloglugea bufonis,1,"Alloglugea bufonis nov. gen., nov. sp. (Microsporea:Glugeidae), a microsporidian of Bufo marinus tadpoles and metamorphosing toads (Amphibia:Anura) from Amazonian Brazil ::: A microsporidian infection, due to Alloglugea bufonis nov. gen., nov. sp., is described in the tadpoles and newly metamorphosed toads of Bufo marinus from a lake near Belem, Para, north Brazil. Xenomas occur either singly in the lamina propria of the intestine, or aggregated into cystic bodies of up to 0.2 mm diameter, which emerge above the intestine surface. The xenoma is bounded by a folded plasmalemma with pinocytotic depressions, and there is a central, enlarged nucleus. Plasmodial stages and elongate meronts differentiate ~ n t o ribbon-shaped sporonts and single-nucleated sporo- blasts. The spore cytoplasm is invaginated at the posterior end. Spores escape from the mature xeno- mas into reticuloendothelial cells of the liver, spleen and kidneys of the tadpoles and newly metamorphosed toads, but infection is gradually lost after metamorphosis.","intestines (lamina propria); liver (reticuloendothelial cells, blood vessels); spleen (primary infection site); kidney (glomeruli, primary infection site); macrophages; phagocytes",intestines; lamina propria; liver; reticuloendothelial cells; blood vessels; spleen; kidney; glomeruli; macrophages; phagocytes,blood vessels; kidney; phagocytes; lamina propria; reticuloendothelial cells; liver; macrophages; glomeruli; intestines; spleen,tadpoles,0,1,10
13,Amazonspora hassar,1,"Amazonspora hassar n. gen. and n. sp. (Phylum Microsporidia, fam. Glugeidae), a parasite of the Amazonian teleost Hassar orestis (fam. Doradidae) ::: We describe the microsporidian Amazonspora hassar n. gen., n. sp. from the gill xenomas of the teleost Hassar orestis (Doradidae) collected in the estuarine region of the Amazon River. The parasite appeared as a small whitish xenoma located in the gill filaments near the blood vessels. Each xenoma consisted of a single hypertrophic host cell (HHC) in the cytoplasm of which the microsporidian developed and proliferated. The xenoma wall was composed of up to approximately 22 juxtaposed crossed layers of collagen fibers. The plasmalemma of the HHC presented numerous anastomosed, microvilli-like structures projecting outward through the 1-3 first internal layers of the collagen fibrils. The parasite was in direct contact with host cell cytoplasm in all stages of the cycle (merogony and sporogony). Sporogony appears to divide by plasmotomy, giving rise to 4 uninucleate sporoblasts, which develop into uninucleate spores. The ellipsoidal spores measured 2.69 ± 0.45 × 1.78 ± 0.18 μm, and the wall measured ∼75 nm. The anchoring disk of the polar filament was subterminal, being shifted laterally from the anterior pole. The polar filament was arranged into 7-8 coils in a single layer in the posterior half of the spore, surrounding the posterior vacuole. The polaroplast surrounded the uncoiled portion of the polar filament, and it was exclusively lamellar. The spores and different life-cycle stages were intermingled within the cytoplasm of the HHC, surrounding the central hypertrophic deeply branched nucleus. The ultrastructural morphology of this microsporidian parasite suggests the erection of a new genus and species.",gills,gills,gills,blood vessels; gill xenomas; gill filaments,0,3,1
15,Amblyospora aestiva,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
22,Amblyospora camposi,1,"Life cycle and description of Amblyospora camposi n. sp. (Microsporidia: Amblyosporidae) in the mosquito Culex renatoi (Diptera, Culicidae) and the copepod Paracyclops fimbriatus fimbriatus (Copepoda, Cyclopidae) ::: The life cycle of Amblyospora camposi n. sp. is described from the mosquito Culex renatoi and the copepod Paracyclops fimbriatus fimbriatus collected in the leaf axils of the plant Eryngium cabrerae in Argentina. Meiospores of A. camposi (5.8 x 4.1 μm) were infectious per os to female adults of the copepod P. f. fimbriatus. All developmental stages in the copepod had unpaired nuclei, with sporulation involving the formation of a sub-persistent, sporontogenic, interfacial envelope and the production of a second type of uninucleate spore. These spores, formed in the ovaries of P. f. fimbriatus, were large, pyriform, and measured 10.70 x 3.85 μm. When ingested they infected C. renatoi larvae to initiate a sequence that involves schizogony and gametogony and ends with plasmogamy and nuclear association to form diplokaryotic meronts. Oblong ovate binucleate spores (7.86 x 2.96 μm) are formed in the adult mosquito and are responsible for vertical transmission to the filial generation. This is the first report of an Amblyospora species from a mosquito that inhabits the small-water bodies held in parts of terresterial plants (phytotelmata).","adipose (1); ovarian (1, 2)",adipose; ovarian,ovarian; adipose,gametogony; ovaries; leaf axils; Eryngium cabrerae; nuclear,0,5,2
25,Amblyospora certa,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
31,Amblyospora criniferis,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
39,Amblyospora ferocis (Amblyospora ferocious),1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
40,Amblyospora firma,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
45,Amblyospora indubitantis,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
