,species,hosts_natural,hosts_experimental,infection_site,infection_site_formatted
0,Abelspora portucalensis (1),Carcinus maenas,,,
1,Abelspora portucalensis (2),,,,
2,Acarispora falculifera,Falculifer rostratus,,Gut epithelium of colon,Gut epithelium of colon
3,Agglomerata cladocera (siberian isolate),Daphnia magna,,Hypoderm; adipose,Hypoderm; adipose
4,Agglomerata connexa,Daphnia longispina,,adipose tissue (main infection site); systemic infection (except muscles and digestive tube),adipose tissue; systemic infection
5,Agglomerata daphnia,Daphnia magna (found in Carassius auratus gibelio),,hypoderm,hypoderm
6,Agglomerata lacrima,Acanthocyclops vernalis,,hypodermal; adipose,hypodermal; adipose
7,Agglomerata volgensae,Daphnia magna,,hypodermal; adipose,hypodermal; adipose
8,Agmasoma aquinoae,Penaeus merguiensis,,,
9,Alfvenia ceriodaphniae,Ceriodaphniae,,Hypodermis,Hypodermis
10,Alfvenia sibirica,Cyclops sp.,,Hypoderm; adipose,Hypoderm; adipose
11,Alloglugea bufonis,Bufo marinus,,"intestines (lamina propria); liver (reticuloendothelial cells, blood vessels); spleen (primary infection site); kidney (glomeruli, primary infection site); macrophages; phagocytes",intestines; lamina propria; liver; reticuloendothelial cells; blood vessels; spleen; kidney; glomeruli; macrophages; phagocytes
12,Alternosema bostrichidis,Prostephanus truncatus; Dinoderus bifoveolatus; Dinoderus porcellus; Dinoderus minutus,,muscles; gonads; midgut epithelium; Malpighian tubules (vessels); fat body,muscles; gonads; midgut epithelium; Malpighian tubules; vessels; fat body
13,Amazonspora hassar,Hassar orestis,,gills,gills
14,Amblyospora abserrati,Aedes abserratus,Acanthocyclops vernalis,fat body,fat body
15,Amblyospora aestiva,Aedes dorsalis; Aedes caspius,,fat body,fat body
16,Amblyospora albifasciati,Aedes albifasciatus (= Ochlerotatus albifasciatus),,,
17,Amblyospora auriferi,Aedes aurifer,,fat body,fat body
18,Amblyospora bakcharia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
19,Amblyospora baritia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
20,Amblyospora bogashovia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
21,Amblyospora burlaki,Culex pipiens,,,
22,Amblyospora camposi,Culex renatoi (1); Paracyclops fimbriatus fimbriatus (2),,"adipose (1); ovarian (1, 2)",adipose; ovarian
23,Amblyospora caspius,Aedes caspius,,,
24,Amblyospora cataphyllus,Aedes cataphylla,,fat body,fat body
25,Amblyospora certa,Aedes cinereus,,fat body,fat body
26,Amblyospora chulymia,Ochlerotatus caspius,,Adipose in larvae,Adipose in larvae
27,Amblyospora cinerei,Aedes cinereus,Acanthocyclops vernalis,fat body,fat body
28,Amblyospora coluzzii,Anopheles gambiae,,,
29,Amblyospora connecticus (1),Aedes cantator; Acanthocyclops vernalis (intermediate host),,,
30,Amblyospora connecticus (2),,,,
31,Amblyospora criniferis,Aedes crinifer (= Ochlerotatus crinifer),,fat body,fat body
32,Amblyospora dakarensis,Culex tritaeniorhynchus,,fat body,fat body
33,Amblyospora dolosi (1),Culex dolosus; Metacyclops mendocinus (intermediate host),,fat body (of Culex dolosus); ovary (of Metacyclops mendocinus),fat body; ovary
34,Amblyospora dolosi (2),,,,
35,Amblyospora dyxenoides (1),Culex annulirostris; Mesocyclops sp. (intermediate host); Mesocyclops albicans (intermediate host),,,
36,Amblyospora dyxenoides (2),,,,
37,Amblyospora egypti,Culex pipiens,,fat body,fat body
38,Amblyospora excrucii,Aedes excrucians,,fat body,fat body
39,Amblyospora ferocis (Amblyospora ferocious),Psorophora ferox (= Janthinosoma ferox),,fat body,fat body
40,Amblyospora firma,Aedes punctor,,fat body,fat body
41,Amblyospora flavescens,Aedes sp. (1); Culex sp. (2),,adipose,adipose
42,Amblyospora hristinia,Ochlerotatus communis,,Adipose in larvae,Adipose in larvae
43,Amblyospora indicola (1),Culex sitiens; Apocyclops sp. (intermediate host),,fat body (of Culex sitiens larva); ovary (Apocyclops sp.),fat body; ovary
44,Amblyospora indicola (2),,,,
45,Amblyospora indubitantis,Mansonia indubitans (= Mansonia indubitans),,fat body,fat body
46,Amblyospora jurginia,Ochlerotatus excrucians,,Adipose in larvae,Adipose in larvae
47,Amblyospora kadunae,Culex pipiens quinquefasciatus,,,
48,Amblyospora kazankia,Ochlerotatus dianaetus,,Adipose in larvae,Adipose in larvae
49,Amblyospora kolarovi,Aedes sp. (1); Culex sp. (2),,adipose,adipose
50,Amblyospora macrococcus,Corynoneura sp.,,fat body,fat body
