Timestamp,Species Name,Date Identified (year),Natural Host(s),Experimental Host(s),Host Environment,Host Life Stage during Infection,Site of Infection,Transmission,Spore Length Average (µm),Spore Width Average (µm),Calculated Volume (µm³) (see methods),Spore Shape (Class; Condition),Locality,Nucleus,Measured Polar Tubule Length Max (μm),Measured Polar Tubule Length Min (μm),Measured Polar Tubule (μm),Calculated Polar Tubule (μm) (see methods),Polar Tubule Coils Range,Polar Tubule Coils Average,18S Accession #,Has the genome been sequenced?,Important Remarks,References,year_first_described
NA,Flabelliforma diaptomi (= Stempellia diaptomi),1977; 1996,Diaptomus gracilis,NA,NA,NA,adipose tissue,horizontal,3.7 ± 0.2 (live),1.9 ± 0.2 (live),6.99370884566648 (live),elongate-ovoid; pyriform,Russia (near St. Petersberg),1,NA,NA,NA,44.7676953136545 (live),7 - 8,7.5,NA,NA,NA,Voronin VN. Ultrastructure of stempellia diaptomi (Protozoa: Microsporidia) with the revision of generic position of the species. Parazitologiya. 30:58.,1977
NA,Glugea plecoglossi,1977,Plecoglossus altivelis (also infects Plecoglossus altivelis altivelis subspecies),Salmo gairdneri,NA,NA,peritoneum; visceral cavity; ovary; testes; fat body; pyloric caeca; spleen; muscles; liver; heart; gills; iris,both,5.58 (fresh); 4.15 (fixed and stained),2.48 (fresh); 1.75 (fixed and stained),17.969507854674 (fresh),elongate; ellipsoidal,Japan (Kaga); Japan (Kagoshima); China,NA,180,100,125 (midpoint of 100 - 150),NA,NA,NA,KX814862,NA,NA,"Takahashi S, Egusa S. Studies on Glugea Infection of the Ayu, Plecoglossus altivelis—I. Fish Pathol. 1977;11:175–82.",1977
NA,Gurleya macrocyclopis,1977; 1986; 1996,Macrocyclops albidus,NA,NA,NA,fat body; ovary,both,3.5 (avg of old entries),2.25 (avg of old entries),9.27751580513236 (avg of old entries),oval; egg-shaped,Russia (Lake Vrevo),1,NA,NA,45,63.6172512351933 (avg of old entries),NA,9,NA,NA,NA,"1. Voronin VN. Ultrastructure and Horizontal Transmission of Gurleya macrocyclopis (Protozoa, Microspora) to Macrocylops albidus (Crustacea, Copepoda). Journal of Invertebrate Pathology. 1996;67:105–7.
 2. Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37.",1977
NA,Kneallhazia solenopsae,1977; 1998; 1996,Solenopsis invicta; Solenopsis richteri,NA,NA,"adult (workers, queens, males); larva (only vegetative stages found); pupa (only vegetative stages found); all stages",fat body; ovary (of queens),both,"4.93 -+ 0.58 (free spores, fresh); 3.32 -+ 0.48 (octospores, fresh); 3.72 ± 0.05 (meiospores, stained)","1.85 -+ 0.16 (free spores, fresh); 1.95 -+ 0.2 (octospores, fresh); 2.01 ± 0.02 (meiospores, stained)","8.83464287076193 (free spores, fresh); 6.6100680227856 (octospores, fresh); 7.86925605745623 (meiospores, stained)",pyriform (octospores); oval (free spores),"U.S.A (Florida); Brazil; Argentina (Salladilo, Buenos Aires)",2 (free spores); 1 (octospores),NA,NA,NA,"58.1194640914112 (free spores, fresh); 61.261056745001 (octospores, fresh)","9 - 11 (octospores, free spores)",10 (free spores); 10 (octospores),AF031538,NA,NA,"1. Knell JD, Allen GE. Light and electron microscope study of Thelohania solenopsae n. sp. (Microsporida: Protozoa) in the red imported fire ant, Solenopsis invicta. J Invertebr Pathol. 1977;29:192–200.
 2. Williams DF, Knue GJ, Becnel JJ. Discovery of Thelohania solenopsae from the Red Imported Fire Ant,Solenopsis invicta, in the United States. Journal of Invertebrate Pathology. 1998;71:175–6
 3. Briano JA, Patterson RS, Becnel JJ, Cordo HA. The Black Imported Fire Ant,Solenopsis richteri, Infected withThelohania solenopsae: Intracolonial Prevalence of Infection and Evidence for Transovarial Transmission. Journal of Invertebrate Pathology. 1996;67:178–9.",1977
NA,Microsporidium (Nosema) jiroveci,1977; 1986,Cyclops vicinus,NA,NA,NA,adipose tissue,horizontal,6.1 (live),2.6 (live),21.5911191105715 (live),pyriform (with pointed anterior poles),Russia (Lake Vrevo in St. Petersberg region),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37.",1977
NA,Nosema blissi,1977,Blissus leucopterus hirtus,NA,NA,adult,Malpighian tubules,horizontal,6.5 -+ 0.3 (stained),2.5 -+ 0.1 (stained),21.2712002586809 (stained),NA,Canada (Ontario),2,NA,NA,NA,302.378292908018 (stained),37 - 40,38.5,NA,NA,NA,"Liu HJ, McEwen FL. Nosema blissi sp. n. (Microsporida: Nosematidae), a pathogen of the chinch bug, Blissus leucopterus hirtus (Hemiptera: Lygaeidae). Journal of Invertebrate Pathology. 1977;29:141–6.",1977
NA,Nosema costelytrae,1977; 1990,Costelytra zealandica,Planotortrix excessana,NA,NA,fat body; tracheole cells; nerve ganglia; muscles; midgut muscles; hindgut muscls; rectal pouch muscles; muscles beneath cuticle; silk gland (in experimental P. excessana host); Malpighian tubules (in experimental P. excessana host),horizontal,4.37 ± 0.03 (fresh); 3.48 ± 0.05 (stained with Giesma),2.50 ± 0.03 (fresh); 2.44 ± 0.03 (stained with Giesma),14.3007915585285 (fresh),ovoid (fresh),New Zealand,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malone LA. Ultrastructure and tissue specificity of Nosema costelytrae and Nosema takapauensis, microsporidian pathogens of grass grubs, Costelytra zealandica, (Coleoptera: Scarabaeidae) in New Zealand. N Z J Sci Technol Sect B. 1990;33:459–65.",1977
NA,Nosema galleriae,1977,Galleria mellonella,NA,NA,all stages (larva primarily infected),systemic infection; silk glands; Malpighian tubules; fat body; nerves; hemocytes; gonads; midgut epithelium,both,3.85 (live); 3.8 (fixed and stained),2.05 (live); 2.4 (fixed and stained),8.47163183963962 (live),ovoid,U.S.A. (California); Russia (St. Petersberg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lipa JJ. Microsporidian infections of Galleria mellonella (L.) (Lepidoptera, Galleriidae) with the description of a new species Nosema galleriae n. sp. Acta Protozool. 1977;16:141–9.",1977
NA,Nosema gigantica,1977,Allocreadium fasciatusi,NA,NA,adult,parenchyma,horizontal,7.9 -+ 0.5 (stained),4.9 -+ 0.3 (stained),99.3156921567097 (stained),ellipsoid,India (Andhra Pradesh),2,NA,NA,190,NA,NA,NA,NA,NA,NA,"Canning EU, Madhavi R. Studies on two new species of Microsporida hyperparasitic in adult Allocreadium fasciatusi (Trematoda, Allocreadiidae). Parasitology. 1977;75:293–300.",1977
NA,Nosema hermannia,1977,Hermannia gibba,NA,terrestrial (found in spruce forest soils),NA,NA,NA,5.25,2.1,12.12262065,oval,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Purrini K, Baumler W. Nosema hermanniae n.sp. - a new microsporidian from Hermannia gibba C.L. Koch (Fam. Hermanniidae, Oribatei, Acari) in spruce forest soils. Zool Anz. 1977;199:107–12.",1977
